model,regime,example_id,criterion_name,criterion_type,true_score,pred_score,failure_class,raw_output
donut,lora,410_c0,Supervised Learning,definition_theory,2.0,,parse_failure,2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5
donut,lora,410_c1,Unsupervised Learning,definition_theory,2.0,,parse_failure,2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5
donut,lora,410_c2,Reinforcement Learning,definition_theory,2.0,,parse_failure,2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5
donut,lora,410_c3,"Example, Overall Clarity & Structure",structure_clarity,2.0,,parse_failure,2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5
donut,lora,463_c3,"Example, Overall Clarity & Structure",structure_clarity,1.5,,parse_failure,
donut,lora,470_c0,Definition of Method Overloading,application,1.0,,parse_failure,2 1
donut,lora,470_c1,Definition of Method Overriding,application,0.0,,parse_failure,2 1
donut,lora,470_ex,Example / Application,application,4.0,,parse_failure,2 1
donut,lora,320_def,Definition of Data Mining,definition_theory,0.0,4.0,overscore_large,4
donut,lora,320_kdd,KDD Process Steps,definition_theory,0.0,2.0,overscore_large,2
donut,lora,320_c2,Importance of Data Mining Marks=(4),definition_theory,0.0,2.0,overscore_large,2
donut,lora,320_ex,Example / Application,application,0.0,2.0,overscore_large,2
donut,lora,142_c3,Clear and organized writing(2),structure_clarity,1.7999999523162842,,parse_failure,
donut,lora,103_c0,Concept of Histogram Equalization,definition_theory,3.0,,parse_failure,2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5
donut,lora,103_c2,Concept of Histogram Matching,definition_theory,3.0,,parse_failure,2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5
donut,lora,37_c0,Definition of Quantization,definition_theory,2.5,,parse_failure,2 2 2
donut,lora,37_c1,Purpose of Quantization,definition_theory,2.5,,parse_failure,2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5
donut,lora,37_c2,Max-Lloyd Algorithm Explanation,definition_theory,2.5,,parse_failure,
donut,lora,12_c1,"Mathematical Expression & Interpretation and Evaluate model performance by               R² ≈ 1 → very good fit 
R² ≈ 0 → poor fit 
R²<0 → model is worse than just using the mean",numerical,0.0,2.5,overscore_large,2.5
donut,lora,12_c2,Critical Insight (Limitations / Adjusted R²) and higher R² strengthens confidence,numerical,0.5,,parse_failure,2.5 0
donut,lora,12_c3,Enables comparison between models and overfitting issues,numerical,0.5,,parse_failure,2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5
donut,lora,247_c0,Identification of Layers (2 Marks),application,2.0,,parse_failure,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
donut,lora,247_c1,Explanation of Layers with diagram (4 Marks),diagram,4.0,,parse_failure,
donut,lora,247_c2,Technical Accuracy (2 Marks),definition_theory,2.0,,parse_failure,2 1
donut,lora,247_c3,Examples/Protocols(1 Mark),application,1.0,,parse_failure,2 0 1
donut,lora,247_c4,Clarity & Organization (1 Mark),structure_clarity,1.0,,parse_failure,2 0 0 0 2 1
donut,lora,291_ex,Example / Application,application,0.0,2.5,overscore_large,2.5
donut,lora,143_c3,Clear and organized writing(2),structure_clarity,0.5,,parse_failure,
donut,lora,268_c0,Identification of Layers (2 Marks),application,2.0,,parse_failure,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
donut,lora,268_c2,Technical Accuracy (2 Marks),definition_theory,1.0,,parse_failure,2 1
donut,lora,268_c3,Examples/Protocols(1 Mark),application,1.0,,parse_failure,2 1
donut,lora,268_c4,Clarity & Organization (1 Mark),structure_clarity,1.0,,parse_failure,2 1
donut,lora,119_c1,Name of the climate variables,definition_theory,2.0,,parse_failure,
donut,lora,190_c0,Understanding of schema and instance (2),application,2.0,,parse_failure,1 2
donut,lora,190_c1,Explanation of different types of keys with examples (4),application,3.0,,parse_failure,2.5 0 0 0
donut,lora,190_c3,Clear and organized writing (2),structure_clarity,2.0,,parse_failure,
donut,lora,228_c0,Identification of Layers (2 Marks),application,2.0,,parse_failure,2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5
donut,lora,228_c1,Explanation of Layers with diagram (4 Marks),diagram,3.0,,parse_failure,
donut,lora,228_c2,Technical Accuracy (2 Marks),definition_theory,1.0,,parse_failure,2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5
donut,lora,228_c3,Examples/Protocols(1 Mark),application,1.0,,parse_failure,2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5
donut,lora,228_c4,Clarity & Organization (1 Mark),structure_clarity,0.0,,parse_failure,2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5
donut,lora,481_c1,Definition of Method Overriding,application,0.0,2.0,overscore_large,2
donut,lora,481_c2,Comparision,application,4.0,2.0,underscore_large,2
donut,lora,481_ex,Example / Application,application,4.0,2.0,underscore_large,2
donut,lora,144_c0,Understanding of normalization and related problems(3),definition_theory,1.5,,parse_failure,2.5 2
donut,lora,144_c1,Explanation of normal forms(3),definition_theory,1.0,,parse_failure,
donut,lora,144_c2,Use of example(2),application,1.5,,parse_failure,2.5 2.5 2.5 2.5 2.5 2
donut,lora,144_c3,Clear and organized writing(2),structure_clarity,1.0,,parse_failure,
donut,zero_shot,440_c0,Supervised Learning,definition_theory,2.0,,parse_failure,>>>>>>>>>>>>>>>
donut,zero_shot,440_c1,Unsupervised Learning,definition_theory,2.0,,parse_failure,>>>>>>>>>>>>>>>
donut,zero_shot,440_c2,Reinforcement Learning,definition_theory,2.0,,parse_failure,>>>>>>>>>>>>>>>
donut,zero_shot,440_c3,"Example, Overall Clarity & Structure",structure_clarity,1.0,,parse_failure,>>>>>>>>>>>>>>>
donut,zero_shot,117_c0,Defintion of climate and weather,definition_theory,2.0,,parse_failure,", .com.com.com.com.com.com."
donut,zero_shot,117_c1,Name of the climate variables,definition_theory,0.0,,parse_failure,", .com.com.com. . . ."
donut,zero_shot,117_c2,Hemato-biochemical changes in rohu due to an increase of temparature,definition_theory,1.75,,parse_failure,", . .com. . . . ."
donut,zero_shot,343_c0,Understanding of Concept,numerical,4.0,,parse_failure,
donut,zero_shot,343_c1,Step-by-Step Procedure,numerical,4.0,,parse_failure,","
donut,zero_shot,343_c2,Accuracy of Final Answer,numerical,4.0,,parse_failure,
donut,zero_shot,343_c3,Clarity & Presentation,numerical,4.0,,parse_failure,","
donut,zero_shot,99_c0,Concept of Histogram Equalization,definition_theory,2.0,,parse_failure,.>>>>>>>>>>>>>
donut,zero_shot,99_c1,Necessity of Histogram Equalization,definition_theory,1.0,,parse_failure,.>>>>>>>>>>>>>
donut,zero_shot,99_c2,Concept of Histogram Matching,definition_theory,2.0,,parse_failure,", .>>>>>>>>>>>>"
donut,zero_shot,99_c3,Necessity of Histogram Matching,definition_theory,1.0,,parse_failure,", .>>>>>>>>>>>>"
donut,zero_shot,189_c0,Understanding of schema and instance (2),application,1.0,,parse_failure,. S.>>>>>>>>>>>>
donut,zero_shot,189_c1,Explanation of different types of keys with examples (4),application,2.0,,parse_failure,. S. S. S. S. S. S. SUN
donut,zero_shot,189_c2,Correct identification of keys in given relation (2),application,1.0,,parse_failure,", S. S. S. S. S. S. SUN"
donut,zero_shot,189_c3,Clear and organized writing (2),structure_clarity,1.0,,parse_failure,", S. S. S. SUNKing>>>>"
donut,zero_shot,405_c0,Supervised Learning,definition_theory,2.5,,parse_failure,", , , , .com/c, ,"
donut,zero_shot,405_c1,Unsupervised Learning,definition_theory,2.5,,parse_failure,", .com/c, .com/c, ,"
donut,zero_shot,405_c2,Reinforcement Learning,definition_theory,2.5,,parse_failure,", .com/c, .com/c, ,"
donut,zero_shot,405_c3,"Example, Overall Clarity & Structure",structure_clarity,1.5,,parse_failure,", .com/c, .com/c, ,"
donut,zero_shot,337_c0,Understanding of Concept,numerical,3.0,,parse_failure,
donut,zero_shot,337_c1,Step-by-Step Procedure,numerical,4.0,,parse_failure,", 0. 0. 0. 0. 0. 0. 0."
donut,zero_shot,337_c2,Accuracy of Final Answer,numerical,3.0,,parse_failure,
donut,zero_shot,337_c3,Clarity & Presentation,numerical,4.0,,parse_failure,", 0. 0. 0. 0. 0. 0. 0."
donut,zero_shot,410_c0,Supervised Learning,definition_theory,2.0,,parse_failure,.>>>>>>>>>>>>>>
donut,zero_shot,410_c1,Unsupervised Learning,definition_theory,2.0,,parse_failure,.>>>>>>>>>>>>>>
donut,zero_shot,410_c2,Reinforcement Learning,definition_theory,2.0,,parse_failure,.>>>>>>>>>>>>>>
donut,zero_shot,410_c3,"Example, Overall Clarity & Structure",structure_clarity,2.0,,parse_failure,.>>>>>>>>>>>>>>
donut,zero_shot,463_c0,Supervised Learning,definition_theory,2.5,,parse_failure,>>>>>>>>>>>>>>>
donut,zero_shot,463_c1,Unsupervised Learning,definition_theory,2.5,,parse_failure,>>>>>>>>>>>>>>>
donut,zero_shot,463_c2,Reinforcement Learning,definition_theory,2.5,,parse_failure,>>>>>>>>>>>>>>>
donut,zero_shot,463_c3,"Example, Overall Clarity & Structure",structure_clarity,1.5,,parse_failure,>>>>>>>>>>>>>>>
donut,zero_shot,470_c0,Definition of Method Overloading,application,1.0,,parse_failure,", |||||||||||||"
donut,zero_shot,470_c1,Definition of Method Overriding,application,0.0,,parse_failure,|| | |||||||||
donut,zero_shot,470_c2,Comparision,application,3.0,,parse_failure,| | ||| ||||||
donut,zero_shot,470_ex,Example / Application,application,4.0,,parse_failure,| | | | | | |
donut,zero_shot,320_def,Definition of Data Mining,definition_theory,0.0,,parse_failure,s: </> (Base: </> Date:
donut,zero_shot,320_kdd,KDD Process Steps,definition_theory,0.0,,parse_failure,.> (Expressed.: .: .:
donut,zero_shot,320_c2,Importance of Data Mining Marks=(4),definition_theory,0.0,,parse_failure,: </> : </> : </</</</</
donut,zero_shot,320_ex,Example / Application,application,0.0,,parse_failure,: </> (Exe: </> (Exe:
donut,zero_shot,142_c0,Understanding of normalization and related problems(3),definition_theory,3.0,,parse_failure,||||||||||||||
donut,zero_shot,142_c1,Explanation of normal forms(3),definition_theory,1.5,,parse_failure,||||||||||||||
donut,zero_shot,142_c2,Use of example(2),application,2.0,,parse_failure,||||||||||||||
donut,zero_shot,142_c3,Clear and organized writing(2),structure_clarity,1.7999999523162842,,parse_failure,||||||||||||||
donut,zero_shot,103_c0,Concept of Histogram Equalization,definition_theory,3.0,,parse_failure,. . . . . . .
donut,zero_shot,103_c1,Necessity of Histogram Equalization,definition_theory,2.0,,parse_failure,. . . . . . .
donut,zero_shot,103_c2,Concept of Histogram Matching,definition_theory,3.0,,parse_failure,. . . . . . .
donut,zero_shot,103_c3,Necessity of Histogram Matching,definition_theory,2.0,,parse_failure,. . . . . . .
donut,zero_shot,37_c0,Definition of Quantization,definition_theory,2.5,,parse_failure,>>>>>>>>>>>>>>>
donut,zero_shot,37_c1,Purpose of Quantization,definition_theory,2.5,,parse_failure,>>>>>>>>>>>>>>>
donut,zero_shot,37_c2,Max-Lloyd Algorithm Explanation,definition_theory,2.5,,parse_failure,>>>>>>>>>>>>>>>
donut,zero_shot,37_c3,Boundary & Centroid Conditions,definition_theory,1.5,,parse_failure,>>>>>>>>>>>>>>>
donut,zero_shot,12_c0,Importance of R² and Variability (eg. 0.85 or 85%) explained by the model,numerical,2.0,,parse_failure,", . . ' ' ' ' ''''''"
donut,zero_shot,12_c1,"Mathematical Expression & Interpretation and Evaluate model performance by               R² ≈ 1 → very good fit 
R² ≈ 0 → poor fit 
R²<0 → model is worse than just using the mean",numerical,0.0,,parse_failure,. . . . . . .
donut,zero_shot,12_c2,Critical Insight (Limitations / Adjusted R²) and higher R² strengthens confidence,numerical,0.5,,parse_failure,. . . . . . .
donut,zero_shot,12_c3,Enables comparison between models and overfitting issues,numerical,0.5,,parse_failure,. . . . . . .
donut,zero_shot,247_c0,Identification of Layers (2 Marks),application,2.0,,parse_failure,","" .com.com.com.com.com.com"
ensemble,few_shot,142_c0,Understanding of normalization and related problems(3),definition_theory,3.0,1.0,underscore_large,
ensemble,few_shot,150_c0,Understanding of normalization and related problems(3),definition_theory,3.0,0.75,underscore_large,
ensemble,few_shot,169_c1,Explanation of normal forms(3),definition_theory,3.0,0.25,underscore_large,
ensemble,few_shot,173_c1,Explanation of normal forms(3),definition_theory,3.0,0.75,underscore_large,
ensemble,few_shot,177_c0,Understanding of normalization and related problems(3),definition_theory,3.0,0.75,underscore_large,
ensemble,few_shot,316_c2,Importance of Data Mining Marks=(4),definition_theory,4.0,2.0,underscore_large,
ensemble,few_shot,316_ex,Example / Application,application,0.0,2.5,overscore_large,
ensemble,few_shot,343_c3,Clarity & Presentation,numerical,4.0,2.0,underscore_large,
ensemble,few_shot,347_c0,Understanding of Concept,numerical,4.0,2.0,underscore_large,
ensemble,few_shot,358_c2,Accuracy of Final Answer,numerical,2.0,4.0,overscore_large,
ensemble,few_shot,469_c0,Definition of Method Overloading,application,0.0,2.5,overscore_large,
ensemble,few_shot,469_c1,Definition of Method Overriding,application,0.0,2.0,overscore_large,
ensemble,few_shot,469_c2,Comparision,application,4.0,2.0,underscore_large,
ensemble,few_shot,469_ex,Example / Application,application,0.0,2.0,overscore_large,
ensemble,few_shot,470_c0,Definition of Method Overloading,application,1.0,3.0,overscore_large,
ensemble,few_shot,470_c1,Definition of Method Overriding,application,0.0,2.5,overscore_large,
ensemble,few_shot,475_c0,Definition of Method Overloading,application,0.0,2.5,overscore_large,
ensemble,few_shot,475_c1,Definition of Method Overriding,application,0.0,2.5,overscore_large,
ensemble,few_shot,475_ex,Example / Application,application,0.0,2.5,overscore_large,
ensemble,few_shot,481_c1,Definition of Method Overriding,application,0.0,2.5,overscore_large,
ensemble,few_shot,99_c1,Necessity of Histogram Equalization,definition_theory,1.0,3.25,overscore_large,
ensemble,few_shot,99_c3,Necessity of Histogram Matching,definition_theory,1.0,3.25,overscore_large,
ensemble,full,117_c1,Name of the climate variables,definition_theory,0.0,2.0,overscore_large,
ensemble,full,216_c2,Technical Accuracy (2 Marks),definition_theory,2.0,0.0,underscore_large,
ensemble,full,298_c2,Importance of Data Mining Marks=(4),definition_theory,1.0,3.5,overscore_large,
