criterion_type,failure_class,count,model,regime,share
definition_theory,overscore_adjacent,36,ensemble,full,0.12371134020618557
definition_theory,overscore_large,3,ensemble,full,0.010309278350515464
definition_theory,underscore_adjacent,25,ensemble,full,0.0859106529209622
definition_theory,underscore_large,1,ensemble,full,0.003436426116838488
diagram,correct,2,ensemble,full,0.006872852233676976
diagram,overscore_adjacent,1,ensemble,full,0.003436426116838488
diagram,underscore_adjacent,6,ensemble,full,0.020618556701030927
numerical,correct,23,ensemble,full,0.07903780068728522
numerical,overscore_adjacent,18,ensemble,full,0.061855670103092786
numerical,underscore_adjacent,7,ensemble,full,0.024054982817869417
structure_clarity,correct,16,ensemble,full,0.054982817869415807
structure_clarity,overscore_adjacent,10,ensemble,full,0.03436426116838488
structure_clarity,underscore_adjacent,8,ensemble,full,0.027491408934707903
application,correct,41,ensemble,lora,0.140893470790378
application,overscore_adjacent,8,ensemble,lora,0.027491408934707903
application,overscore_large,8,ensemble,lora,0.027491408934707903
application,underscore_adjacent,13,ensemble,lora,0.044673539518900345
application,underscore_large,4,ensemble,lora,0.013745704467353952
definition_theory,correct,69,ensemble,lora,0.23711340206185566
definition_theory,overscore_adjacent,27,ensemble,lora,0.09278350515463918
definition_theory,overscore_large,2,ensemble,lora,0.006872852233676976
definition_theory,underscore_adjacent,26,ensemble,lora,0.08934707903780069
definition_theory,underscore_large,2,ensemble,lora,0.006872852233676976
diagram,correct,4,ensemble,lora,0.013745704467353952
diagram,underscore_adjacent,5,ensemble,lora,0.01718213058419244
numerical,correct,25,ensemble,lora,0.0859106529209622
numerical,overscore_adjacent,12,ensemble,lora,0.041237113402061855
numerical,underscore_adjacent,11,ensemble,lora,0.037800687285223365
structure_clarity,correct,14,ensemble,lora,0.048109965635738834
structure_clarity,overscore_adjacent,9,ensemble,lora,0.030927835051546393
structure_clarity,underscore_adjacent,11,ensemble,lora,0.037800687285223365
application,correct,15,ensemble,zero_shot,0.05154639175257732
application,overscore_adjacent,20,ensemble,zero_shot,0.06872852233676977
application,overscore_large,14,ensemble,zero_shot,0.048109965635738834
application,underscore_adjacent,25,ensemble,zero_shot,0.0859106529209622
definition_theory,correct,22,ensemble,zero_shot,0.07560137457044673
definition_theory,overscore_adjacent,29,ensemble,zero_shot,0.09965635738831616
definition_theory,overscore_large,6,ensemble,zero_shot,0.020618556701030927
definition_theory,underscore_adjacent,69,ensemble,zero_shot,0.23711340206185566
diagram,correct,2,ensemble,zero_shot,0.006872852233676976
diagram,overscore_adjacent,4,ensemble,zero_shot,0.013745704467353952
diagram,underscore_adjacent,3,ensemble,zero_shot,0.010309278350515464
numerical,correct,9,ensemble,zero_shot,0.030927835051546393
numerical,overscore_adjacent,17,ensemble,zero_shot,0.058419243986254296
numerical,overscore_large,1,ensemble,zero_shot,0.003436426116838488
numerical,underscore_adjacent,21,ensemble,zero_shot,0.07216494845360824
structure_clarity,correct,6,ensemble,zero_shot,0.020618556701030927
structure_clarity,overscore_adjacent,20,ensemble,zero_shot,0.06872852233676977
structure_clarity,underscore_adjacent,8,ensemble,zero_shot,0.027491408934707903
application,correct,16,internvl3,few_shot,0.054982817869415807
application,overscore_adjacent,5,internvl3,few_shot,0.01718213058419244
application,overscore_large,9,internvl3,few_shot,0.030927835051546393
application,underscore_adjacent,30,internvl3,few_shot,0.10309278350515463
application,underscore_large,14,internvl3,few_shot,0.048109965635738834
definition_theory,correct,19,internvl3,few_shot,0.06529209621993128
definition_theory,overscore_adjacent,16,internvl3,few_shot,0.054982817869415807
definition_theory,overscore_large,2,internvl3,few_shot,0.006872852233676976
definition_theory,underscore_adjacent,67,internvl3,few_shot,0.23024054982817868
definition_theory,underscore_large,22,internvl3,few_shot,0.07560137457044673
diagram,correct,1,internvl3,few_shot,0.003436426116838488
diagram,underscore_adjacent,7,internvl3,few_shot,0.024054982817869417
diagram,underscore_large,1,internvl3,few_shot,0.003436426116838488
numerical,correct,15,internvl3,few_shot,0.05154639175257732
numerical,overscore_adjacent,8,internvl3,few_shot,0.027491408934707903
numerical,overscore_large,1,internvl3,few_shot,0.003436426116838488
numerical,underscore_adjacent,12,internvl3,few_shot,0.041237113402061855
numerical,underscore_large,12,internvl3,few_shot,0.041237113402061855
structure_clarity,correct,5,internvl3,few_shot,0.01718213058419244
structure_clarity,overscore_adjacent,12,internvl3,few_shot,0.041237113402061855
structure_clarity,underscore_adjacent,17,internvl3,few_shot,0.058419243986254296
application,correct,41,internvl3,full,0.140893470790378
application,overscore_adjacent,8,internvl3,full,0.027491408934707903
application,overscore_large,9,internvl3,full,0.030927835051546393
application,underscore_adjacent,11,internvl3,full,0.037800687285223365
application,underscore_large,5,internvl3,full,0.01718213058419244
definition_theory,correct,76,internvl3,full,0.2611683848797251
definition_theory,overscore_adjacent,27,internvl3,full,0.09278350515463918
definition_theory,overscore_large,4,internvl3,full,0.013745704467353952
definition_theory,underscore_adjacent,18,internvl3,full,0.061855670103092786
definition_theory,underscore_large,1,internvl3,full,0.003436426116838488
diagram,correct,2,internvl3,full,0.006872852233676976
diagram,overscore_adjacent,1,internvl3,full,0.003436426116838488
diagram,underscore_adjacent,6,internvl3,full,0.020618556701030927
numerical,correct,32,internvl3,full,0.10996563573883161
numerical,overscore_adjacent,11,internvl3,full,0.037800687285223365
numerical,underscore_adjacent,5,internvl3,full,0.01718213058419244
structure_clarity,correct,18,internvl3,full,0.061855670103092786
structure_clarity,overscore_adjacent,11,internvl3,full,0.037800687285223365
structure_clarity,underscore_adjacent,5,internvl3,full,0.01718213058419244
application,correct,44,internvl3,lora,0.15120274914089346
application,overscore_adjacent,7,internvl3,lora,0.024054982817869417
application,overscore_large,8,internvl3,lora,0.027491408934707903
application,underscore_adjacent,11,internvl3,lora,0.037800687285223365
application,underscore_large,4,internvl3,lora,0.013745704467353952
definition_theory,correct,79,internvl3,lora,0.27147766323024053
definition_theory,overscore_adjacent,23,internvl3,lora,0.07903780068728522
definition_theory,overscore_large,3,internvl3,lora,0.010309278350515464
definition_theory,underscore_adjacent,19,internvl3,lora,0.06529209621993128
definition_theory,underscore_large,2,internvl3,lora,0.006872852233676976
diagram,correct,4,internvl3,lora,0.013745704467353952
diagram,underscore_adjacent,5,internvl3,lora,0.01718213058419244
numerical,correct,31,internvl3,lora,0.10652920962199312
numerical,overscore_adjacent,7,internvl3,lora,0.024054982817869417
numerical,underscore_adjacent,10,internvl3,lora,0.03436426116838488
structure_clarity,correct,17,internvl3,lora,0.058419243986254296
structure_clarity,overscore_adjacent,9,internvl3,lora,0.030927835051546393
structure_clarity,underscore_adjacent,8,internvl3,lora,0.027491408934707903
application,correct,26,internvl3,zero_shot,0.08934707903780069
application,overscore_adjacent,12,internvl3,zero_shot,0.041237113402061855
application,overscore_large,14,internvl3,zero_shot,0.048109965635738834
application,underscore_adjacent,22,internvl3,zero_shot,0.07560137457044673
definition_theory,correct,25,internvl3,zero_shot,0.0859106529209622
definition_theory,overscore_adjacent,23,internvl3,zero_shot,0.07903780068728522
definition_theory,overscore_large,9,internvl3,zero_shot,0.030927835051546393
definition_theory,underscore_adjacent,66,internvl3,zero_shot,0.2268041237113402
definition_theory,underscore_large,3,internvl3,zero_shot,0.010309278350515464
diagram,correct,4,internvl3,zero_shot,0.013745704467353952
diagram,overscore_adjacent,1,internvl3,zero_shot,0.003436426116838488
diagram,underscore_adjacent,4,internvl3,zero_shot,0.013745704467353952
numerical,correct,13,internvl3,zero_shot,0.044673539518900345
numerical,overscore_adjacent,11,internvl3,zero_shot,0.037800687285223365
numerical,overscore_large,3,internvl3,zero_shot,0.010309278350515464
numerical,underscore_adjacent,15,internvl3,zero_shot,0.05154639175257732
numerical,underscore_large,6,internvl3,zero_shot,0.020618556701030927
structure_clarity,correct,8,internvl3,zero_shot,0.027491408934707903
structure_clarity,overscore_adjacent,19,internvl3,zero_shot,0.06529209621993128
structure_clarity,underscore_adjacent,7,internvl3,zero_shot,0.024054982817869417
application,correct,16,pixtral,few_shot,0.054982817869415807
application,overscore_adjacent,7,pixtral,few_shot,0.024054982817869417
application,overscore_large,17,pixtral,few_shot,0.058419243986254296
application,underscore_adjacent,33,pixtral,few_shot,0.1134020618556701
application,underscore_large,1,pixtral,few_shot,0.003436426116838488
definition_theory,correct,24,pixtral,few_shot,0.08247422680412371
definition_theory,overscore_adjacent,19,pixtral,few_shot,0.06529209621993128
definition_theory,overscore_large,10,pixtral,few_shot,0.03436426116838488
definition_theory,underscore_adjacent,65,pixtral,few_shot,0.22336769759450173
definition_theory,underscore_large,8,pixtral,few_shot,0.027491408934707903
diagram,correct,3,pixtral,few_shot,0.010309278350515464
diagram,overscore_adjacent,1,pixtral,few_shot,0.003436426116838488
diagram,underscore_adjacent,4,pixtral,few_shot,0.013745704467353952
diagram,underscore_large,1,pixtral,few_shot,0.003436426116838488
numerical,correct,23,pixtral,few_shot,0.07903780068728522
numerical,overscore_adjacent,7,pixtral,few_shot,0.024054982817869417
numerical,overscore_large,2,pixtral,few_shot,0.006872852233676976
numerical,underscore_adjacent,16,pixtral,few_shot,0.054982817869415807
structure_clarity,correct,9,pixtral,few_shot,0.030927835051546393
structure_clarity,overscore_adjacent,12,pixtral,few_shot,0.041237113402061855
structure_clarity,underscore_adjacent,13,pixtral,few_shot,0.044673539518900345
application,correct,44,pixtral,full,0.15120274914089346
application,overscore_adjacent,4,pixtral,full,0.013745704467353952
application,overscore_large,4,pixtral,full,0.013745704467353952
application,underscore_adjacent,12,pixtral,full,0.041237113402061855
application,underscore_large,10,pixtral,full,0.03436426116838488
definition_theory,correct,54,pixtral,full,0.18556701030927836
definition_theory,overscore_adjacent,25,pixtral,full,0.0859106529209622
definition_theory,overscore_large,5,pixtral,full,0.01718213058419244
definition_theory,underscore_adjacent,30,pixtral,full,0.10309278350515463
definition_theory,underscore_large,12,pixtral,full,0.041237113402061855
diagram,correct,2,pixtral,full,0.006872852233676976
diagram,overscore_adjacent,1,pixtral,full,0.003436426116838488
diagram,underscore_adjacent,5,pixtral,full,0.01718213058419244
diagram,underscore_large,1,pixtral,full,0.003436426116838488
numerical,correct,29,pixtral,full,0.09965635738831616
numerical,overscore_adjacent,3,pixtral,full,0.010309278350515464
numerical,underscore_adjacent,16,pixtral,full,0.054982817869415807
structure_clarity,correct,15,pixtral,full,0.05154639175257732
structure_clarity,overscore_adjacent,8,pixtral,full,0.027491408934707903
structure_clarity,underscore_adjacent,11,pixtral,full,0.037800687285223365
application,correct,46,pixtral,lora,0.15807560137457044
application,overscore_adjacent,5,pixtral,lora,0.01718213058419244
application,overscore_large,5,pixtral,lora,0.01718213058419244
application,underscore_adjacent,13,pixtral,lora,0.044673539518900345
application,underscore_large,5,pixtral,lora,0.01718213058419244
definition_theory,correct,68,pixtral,lora,0.23367697594501718
definition_theory,overscore_adjacent,22,pixtral,lora,0.07560137457044673
definition_theory,overscore_large,4,pixtral,lora,0.013745704467353952
definition_theory,underscore_adjacent,29,pixtral,lora,0.09965635738831616
definition_theory,underscore_large,3,pixtral,lora,0.010309278350515464
diagram,correct,4,pixtral,lora,0.013745704467353952
diagram,underscore_adjacent,4,pixtral,lora,0.013745704467353952
diagram,underscore_large,1,pixtral,lora,0.003436426116838488
numerical,correct,28,pixtral,lora,0.09621993127147767
numerical,overscore_adjacent,9,pixtral,lora,0.030927835051546393
numerical,underscore_adjacent,11,pixtral,lora,0.037800687285223365
structure_clarity,correct,16,pixtral,lora,0.054982817869415807
structure_clarity,overscore_adjacent,9,pixtral,lora,0.030927835051546393
structure_clarity,underscore_adjacent,9,pixtral,lora,0.030927835051546393
application,correct,16,pixtral,zero_shot,0.054982817869415807
application,overscore_adjacent,16,pixtral,zero_shot,0.054982817869415807
application,overscore_large,17,pixtral,zero_shot,0.058419243986254296
application,underscore_adjacent,25,pixtral,zero_shot,0.0859106529209622
definition_theory,correct,40,pixtral,zero_shot,0.13745704467353953
definition_theory,overscore_adjacent,23,pixtral,zero_shot,0.07903780068728522
definition_theory,overscore_large,12,pixtral,zero_shot,0.041237113402061855
definition_theory,underscore_adjacent,51,pixtral,zero_shot,0.17525773195876287
diagram,correct,5,pixtral,zero_shot,0.01718213058419244
diagram,overscore_adjacent,1,pixtral,zero_shot,0.003436426116838488
diagram,underscore_adjacent,3,pixtral,zero_shot,0.010309278350515464
numerical,correct,21,pixtral,zero_shot,0.07216494845360824
numerical,overscore_adjacent,10,pixtral,zero_shot,0.03436426116838488
numerical,overscore_large,4,pixtral,zero_shot,0.013745704467353952
numerical,underscore_adjacent,13,pixtral,zero_shot,0.044673539518900345
structure_clarity,correct,11,pixtral,zero_shot,0.037800687285223365
structure_clarity,overscore_adjacent,13,pixtral,zero_shot,0.044673539518900345
structure_clarity,underscore_adjacent,10,pixtral,zero_shot,0.03436426116838488
application,correct,24,qwen25vl,few_shot,0.08247422680412371
application,overscore_adjacent,11,qwen25vl,few_shot,0.037800687285223365
application,overscore_large,12,qwen25vl,few_shot,0.041237113402061855
application,underscore_adjacent,26,qwen25vl,few_shot,0.08934707903780069
application,underscore_large,1,qwen25vl,few_shot,0.003436426116838488
definition_theory,correct,34,qwen25vl,few_shot,0.11683848797250859
definition_theory,overscore_adjacent,21,qwen25vl,few_shot,0.07216494845360824
definition_theory,overscore_large,6,qwen25vl,few_shot,0.020618556701030927
definition_theory,underscore_adjacent,63,qwen25vl,few_shot,0.21649484536082475
definition_theory,underscore_large,2,qwen25vl,few_shot,0.006872852233676976
diagram,correct,5,qwen25vl,few_shot,0.01718213058419244
diagram,overscore_adjacent,3,qwen25vl,few_shot,0.010309278350515464
diagram,underscore_adjacent,1,qwen25vl,few_shot,0.003436426116838488
numerical,correct,21,qwen25vl,few_shot,0.07216494845360824
numerical,overscore_adjacent,6,qwen25vl,few_shot,0.020618556701030927
numerical,overscore_large,1,qwen25vl,few_shot,0.003436426116838488
numerical,underscore_adjacent,18,qwen25vl,few_shot,0.061855670103092786
numerical,underscore_large,2,qwen25vl,few_shot,0.006872852233676976
structure_clarity,correct,7,qwen25vl,few_shot,0.024054982817869417
structure_clarity,overscore_adjacent,12,qwen25vl,few_shot,0.041237113402061855
structure_clarity,underscore_adjacent,15,qwen25vl,few_shot,0.05154639175257732
application,correct,44,qwen25vl,full,0.15120274914089346
application,overscore_adjacent,8,qwen25vl,full,0.027491408934707903
application,overscore_large,9,qwen25vl,full,0.030927835051546393
application,underscore_adjacent,12,qwen25vl,full,0.041237113402061855
application,underscore_large,1,qwen25vl,full,0.003436426116838488
definition_theory,correct,70,qwen25vl,full,0.24054982817869416
definition_theory,overscore_adjacent,32,qwen25vl,full,0.10996563573883161
definition_theory,overscore_large,3,qwen25vl,full,0.010309278350515464
definition_theory,underscore_adjacent,18,qwen25vl,full,0.061855670103092786
definition_theory,underscore_large,3,qwen25vl,full,0.010309278350515464
diagram,correct,3,qwen25vl,full,0.010309278350515464
diagram,overscore_adjacent,1,qwen25vl,full,0.003436426116838488
diagram,underscore_adjacent,5,qwen25vl,full,0.01718213058419244
numerical,correct,24,qwen25vl,full,0.08247422680412371
numerical,overscore_adjacent,17,qwen25vl,full,0.058419243986254296
numerical,underscore_adjacent,7,qwen25vl,full,0.024054982817869417
structure_clarity,correct,18,qwen25vl,full,0.061855670103092786
structure_clarity,overscore_adjacent,8,qwen25vl,full,0.027491408934707903
structure_clarity,underscore_adjacent,8,qwen25vl,full,0.027491408934707903
application,correct,53,qwen25vl,lora,0.18213058419243985
application,overscore_adjacent,5,qwen25vl,lora,0.01718213058419244
application,overscore_large,6,qwen25vl,lora,0.020618556701030927
application,underscore_adjacent,6,qwen25vl,lora,0.020618556701030927
application,underscore_large,4,qwen25vl,lora,0.013745704467353952
definition_theory,correct,75,qwen25vl,lora,0.25773195876288657
definition_theory,overscore_adjacent,24,qwen25vl,lora,0.08247422680412371
definition_theory,overscore_large,4,qwen25vl,lora,0.013745704467353952
definition_theory,underscore_adjacent,21,qwen25vl,lora,0.07216494845360824
definition_theory,underscore_large,2,qwen25vl,lora,0.006872852233676976
diagram,correct,6,qwen25vl,lora,0.020618556701030927
diagram,underscore_adjacent,2,qwen25vl,lora,0.006872852233676976
diagram,underscore_large,1,qwen25vl,lora,0.003436426116838488
numerical,correct,28,qwen25vl,lora,0.09621993127147767
numerical,overscore_adjacent,11,qwen25vl,lora,0.037800687285223365
numerical,underscore_adjacent,9,qwen25vl,lora,0.030927835051546393
structure_clarity,correct,15,qwen25vl,lora,0.05154639175257732
structure_clarity,overscore_adjacent,8,qwen25vl,lora,0.027491408934707903
structure_clarity,underscore_adjacent,11,qwen25vl,lora,0.037800687285223365
application,correct,18,qwen25vl,zero_shot,0.061855670103092786
application,overscore_adjacent,19,qwen25vl,zero_shot,0.06529209621993128
application,overscore_large,15,qwen25vl,zero_shot,0.05154639175257732
application,underscore_adjacent,21,qwen25vl,zero_shot,0.07216494845360824
application,underscore_large,1,qwen25vl,zero_shot,0.003436426116838488
definition_theory,correct,35,qwen25vl,zero_shot,0.12027491408934708
definition_theory,overscore_adjacent,28,qwen25vl,zero_shot,0.09621993127147767
definition_theory,overscore_large,6,qwen25vl,zero_shot,0.020618556701030927
definition_theory,underscore_adjacent,57,qwen25vl,zero_shot,0.1958762886597938
diagram,correct,4,qwen25vl,zero_shot,0.013745704467353952
diagram,overscore_adjacent,4,qwen25vl,zero_shot,0.013745704467353952
diagram,overscore_large,1,qwen25vl,zero_shot,0.003436426116838488
numerical,correct,19,qwen25vl,zero_shot,0.06529209621993128
numerical,overscore_adjacent,16,qwen25vl,zero_shot,0.054982817869415807
numerical,overscore_large,2,qwen25vl,zero_shot,0.006872852233676976
numerical,underscore_adjacent,11,qwen25vl,zero_shot,0.037800687285223365
structure_clarity,correct,7,qwen25vl,zero_shot,0.024054982817869417
structure_clarity,overscore_adjacent,19,qwen25vl,zero_shot,0.06529209621993128
structure_clarity,underscore_adjacent,8,qwen25vl,zero_shot,0.027491408934707903
