model,example_id,criterion_index,run0,run1,run2,run3,run4,mean,std,range
qwen25vl,161_c2,2,0.0,1.0,1.0,1.0,1.0,0.8,0.44721359549995804,1.0
qwen25vl,161_c3,3,1.0,1.0,1.5,1.0,1.0,1.1,0.22360679774997896,0.5
qwen25vl,169_c0,0,2.5,2.0,2.0,2.5,2.5,2.3,0.2738612787525831,0.5
qwen25vl,169_c1,1,2.5,2.0,2.0,2.0,1.5,2.0,0.3535533905932738,1.0
qwen25vl,169_c2,2,1.5,1.5,1.5,2.0,1.5,1.6,0.22360679774997896,0.5
qwen25vl,169_c3,3,1.0,1.5,1.0,1.5,1.0,1.2,0.27386127875258304,0.5
qwen25vl,173_c0,0,3.0,3.0,2.0,2.5,3.0,2.7,0.4472135954999579,1.0
qwen25vl,173_c1,1,3.0,2.5,3.0,3.0,3.0,2.9,0.22360679774997894,0.5
qwen25vl,173_c2,2,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,173_c3,3,2.0,1.5,1.5,1.5,1.5,1.6,0.22360679774997894,0.5
qwen25vl,177_c0,0,2.5,2.5,2.5,3.0,2.5,2.6,0.22360679774997896,0.5
qwen25vl,177_c1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,177_c2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,177_c3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,182_c0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,182_c1,1,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,182_c2,2,1.0,1.0,2.0,1.0,2.0,1.4,0.5477225575051661,1.0
qwen25vl,182_c3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,189_c0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,189_c1,1,3.0,3.0,2.0,3.0,2.0,2.6,0.5477225575051661,1.0
qwen25vl,189_c2,2,2.0,2.0,1.0,2.0,1.0,1.6,0.5477225575051661,1.0
qwen25vl,189_c3,3,1.0,2.0,1.0,1.0,1.0,1.2,0.44721359549995804,1.0
qwen25vl,18_c0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,18_c1,1,2.0,1.0,2.0,1.0,1.0,1.4,0.5477225575051661,1.0
qwen25vl,18_c2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0
qwen25vl,18_c3,3,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0
qwen25vl,190_c0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,190_c1,1,3.0,3.0,2.0,2.0,3.0,2.6,0.5477225575051661,1.0
qwen25vl,190_c2,2,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,190_c3,3,1.0,1.0,1.0,2.0,2.0,1.4,0.5477225575051661,1.0
qwen25vl,196_c0,0,1.0,2.0,2.0,1.0,1.0,1.4,0.5477225575051661,1.0
qwen25vl,196_c1,1,2.0,2.0,3.0,3.0,2.0,2.4,0.5477225575051661,1.0
qwen25vl,196_c2,2,2.0,1.0,2.0,1.0,2.0,1.6,0.5477225575051661,1.0
qwen25vl,196_c3,3,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579,1.0
qwen25vl,205_c0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,205_c1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,205_c2,2,1.0,1.0,1.0,1.0,0.0,0.8,0.4472135954999579,1.0
qwen25vl,205_c3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,208_c0,0,1.0,1.0,2.0,1.0,2.0,1.4,0.5477225575051661,1.0
qwen25vl,208_c1,1,2.0,2.0,1.0,3.0,2.0,2.0,0.7071067811865476,2.0
qwen25vl,208_c2,2,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,208_c3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,216_c0,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,216_c1,1,2.0,1.0,1.0,2.0,2.0,1.6,0.5477225575051661,1.0
qwen25vl,216_c2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,216_c3,3,1.0,1.0,0.0,1.0,1.0,0.8,0.4472135954999579,1.0
qwen25vl,216_c4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,222_c0,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,222_c1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,222_c2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,222_c3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,222_c4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,228_c0,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,228_c1,1,2.0,3.0,2.0,2.0,2.0,2.2,0.44721359549995787,1.0
qwen25vl,228_c2,2,0.0,1.0,1.0,1.0,1.0,0.8,0.44721359549995804,1.0
qwen25vl,228_c3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,228_c4,4,1.0,0.0,0.0,0.0,0.0,0.2,0.44721359549995804,1.0
qwen25vl,247_c0,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,247_c1,1,3.0,3.0,3.0,3.0,4.0,3.2,0.4472135954999579,1.0
qwen25vl,247_c2,2,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,247_c3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,247_c4,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,259_c0,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,259_c1,1,3.0,3.0,2.0,2.0,2.0,2.4,0.5477225575051661,1.0
qwen25vl,259_c2,2,2.0,1.0,1.0,1.0,1.0,1.2,0.44721359549995804,1.0
qwen25vl,259_c3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,259_c4,4,1.0,0.0,1.0,1.0,1.0,0.8,0.44721359549995804,1.0
qwen25vl,263_c0,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,263_c1,1,3.0,2.0,2.0,2.0,3.0,2.4,0.5477225575051661,1.0
qwen25vl,263_c2,2,1.0,2.0,1.0,1.0,1.0,1.2,0.44721359549995804,1.0
qwen25vl,263_c3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,263_c4,4,0.0,1.0,1.0,1.0,1.0,0.8,0.44721359549995804,1.0
qwen25vl,264_c0,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,264_c1,1,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,264_c2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,264_c3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,264_c4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,268_c0,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,268_c1,1,2.0,3.0,2.0,3.0,3.0,2.6,0.5477225575051661,1.0
qwen25vl,268_c2,2,2.0,2.0,2.0,2.0,1.0,1.8,0.4472135954999579,1.0
qwen25vl,268_c3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
qwen25vl,268_c4,4,1.0,1.0,1.0,1.0,0.0,0.8,0.4472135954999579,1.0
qwen25vl,277_c0,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,277_c1,1,2.0,1.0,2.0,2.0,2.0,1.8,0.44721359549995804,1.0
qwen25vl,277_c2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,277_c3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,277_c4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,27_c0,0,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,27_c1,1,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,27_c2,2,1.5,2.5,2.5,2.5,2.5,2.3,0.44721359549995787,1.0
qwen25vl,27_c3,3,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,281_c2,2,1.0,0.0,1.0,1.0,0.0,0.6,0.5477225575051662,1.0
qwen25vl,281_def,0,3.0,2.0,2.0,3.0,3.0,2.6,0.5477225575051661,1.0
qwen25vl,281_ex,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,281_kdd,1,3.0,3.0,3.0,4.0,4.0,3.4,0.5477225575051661,1.0
qwen25vl,287_c2,2,3.0,4.0,3.0,3.0,2.0,3.0,0.7071067811865476,2.0
qwen25vl,287_def,0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
qwen25vl,287_ex,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,287_kdd,1,4.0,3.0,4.0,4.0,4.0,3.8,0.44721359549995787,1.0
qwen25vl,291_c2,2,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0
qwen25vl,291_def,0,1.0,3.0,2.0,3.0,2.0,2.2,0.8366600265340756,2.0
qwen25vl,291_ex,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,291_kdd,1,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
qwen25vl,298_c2,2,3.0,4.0,3.0,2.0,3.0,3.0,0.7071067811865476,2.0
qwen25vl,298_def,0,2.0,3.0,3.0,3.0,3.0,2.8,0.44721359549995787,1.0
qwen25vl,298_ex,3,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
qwen25vl,298_kdd,1,4.0,4.0,3.0,4.0,3.0,3.6,0.5477225575051661,1.0
qwen25vl,301_c2,2,0.0,1.0,2.0,1.0,1.0,1.0,0.7071067811865476,2.0
qwen25vl,301_def,0,3.0,3.0,2.0,3.0,3.0,2.8,0.4472135954999579,1.0
qwen25vl,301_ex,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,301_kdd,1,3.0,3.0,4.0,3.0,2.0,3.0,0.7071067811865476,2.0
qwen25vl,309_c2,2,1.0,0.0,0.0,0.0,0.0,0.2,0.44721359549995804,1.0
qwen25vl,309_def,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,309_ex,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,309_kdd,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,316_c2,2,4.0,4.0,3.0,4.0,3.0,3.6,0.5477225575051661,1.0
qwen25vl,316_def,0,3.0,2.0,3.0,3.0,3.0,2.8,0.44721359549995787,1.0
qwen25vl,316_ex,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,316_kdd,1,4.0,3.0,3.0,3.0,4.0,3.4,0.5477225575051661,1.0
qwen25vl,320_c2,2,4.0,0.0,0.0,4.0,4.0,2.4,2.1908902300206647,4.0
qwen25vl,320_def,0,0.0,0.0,0.0,4.0,0.0,0.8,1.788854381999832,4.0
qwen25vl,320_ex,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,320_kdd,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,337_c0,0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
qwen25vl,337_c1,1,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
qwen25vl,337_c2,2,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
qwen25vl,337_c3,3,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
qwen25vl,343_c0,0,3.0,4.0,4.0,4.0,4.0,3.8,0.44721359549995787,1.0
qwen25vl,343_c1,1,3.0,4.0,3.0,3.0,3.0,3.2,0.44721359549995787,1.0
qwen25vl,343_c2,2,2.0,3.0,3.0,3.0,2.0,2.6,0.5477225575051661,1.0
qwen25vl,343_c3,3,3.0,3.0,3.0,3.0,2.0,2.8,0.4472135954999579,1.0
qwen25vl,347_c0,0,3.0,4.0,3.0,3.0,3.0,3.2,0.44721359549995787,1.0
qwen25vl,347_c1,1,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
qwen25vl,347_c2,2,3.0,2.0,3.0,3.0,3.0,2.8,0.44721359549995787,1.0
qwen25vl,347_c3,3,3.0,2.0,3.0,2.0,3.0,2.6,0.5477225575051661,1.0
qwen25vl,351_c0,0,4.0,4.0,3.0,3.0,4.0,3.6,0.5477225575051661,1.0
qwen25vl,351_c1,1,3.0,4.0,3.0,3.0,4.0,3.4,0.5477225575051661,1.0
qwen25vl,351_c2,2,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
qwen25vl,351_c3,3,3.0,3.0,4.0,3.0,3.0,3.2,0.4472135954999579,1.0
qwen25vl,358_c0,0,4.0,3.0,3.0,3.0,4.0,3.4,0.5477225575051661,1.0
qwen25vl,358_c1,1,4.0,3.0,4.0,4.0,4.0,3.8,0.44721359549995787,1.0
qwen25vl,358_c2,2,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
qwen25vl,358_c3,3,3.0,3.0,3.0,4.0,3.0,3.2,0.4472135954999579,1.0
qwen25vl,368_c0,0,4.0,3.0,4.0,4.0,4.0,3.8,0.44721359549995787,1.0
qwen25vl,368_c1,1,2.0,2.0,2.0,3.0,3.0,2.4,0.5477225575051661,1.0
qwen25vl,368_c2,2,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
qwen25vl,368_c3,3,3.0,3.0,3.0,2.0,3.0,2.8,0.4472135954999579,1.0
qwen25vl,377_c0,0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
qwen25vl,377_c1,1,4.0,4.0,3.0,4.0,4.0,3.8,0.4472135954999579,1.0
qwen25vl,377_c2,2,3.0,2.0,3.0,3.0,3.0,2.8,0.44721359549995787,1.0
qwen25vl,377_c3,3,3.0,3.0,3.0,3.0,4.0,3.2,0.4472135954999579,1.0
qwen25vl,37_c0,0,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,37_c1,1,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,37_c2,2,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,37_c3,3,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,392_c0,0,4.0,3.0,4.0,3.0,4.0,3.6,0.5477225575051661,1.0
qwen25vl,392_c1,1,3.0,4.0,3.0,4.0,3.0,3.4,0.5477225575051661,1.0
qwen25vl,392_c2,2,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
qwen25vl,392_c3,3,3.0,3.0,4.0,4.0,3.0,3.4,0.5477225575051661,1.0
qwen25vl,395_c0,0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
qwen25vl,395_c1,1,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
qwen25vl,395_c2,2,3.0,3.0,3.0,4.0,3.0,3.2,0.4472135954999579,1.0
qwen25vl,395_c3,3,3.0,3.0,4.0,4.0,3.0,3.4,0.5477225575051661,1.0
qwen25vl,39_c0,0,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,39_c1,1,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,39_c2,2,2.5,2.0,2.5,2.5,2.5,2.4,0.22360679774997894,0.5
qwen25vl,39_c3,3,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,400_c0,0,4.0,4.0,4.0,3.0,4.0,3.8,0.4472135954999579,1.0
qwen25vl,400_c1,1,4.0,4.0,4.0,3.0,3.0,3.6,0.5477225575051661,1.0
qwen25vl,400_c2,2,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
qwen25vl,400_c3,3,4.0,3.0,3.0,4.0,3.0,3.4,0.5477225575051661,1.0
qwen25vl,405_c0,0,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,405_c1,1,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,405_c2,2,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,405_c3,3,2.0,1.5,2.0,2.5,2.5,2.1,0.4183300132670378,1.0
qwen25vl,410_c0,0,2.0,2.5,2.0,2.0,2.5,2.2,0.27386127875258304,0.5
qwen25vl,410_c1,1,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,410_c2,2,2.5,2.0,2.5,2.5,2.5,2.4,0.22360679774997894,0.5
qwen25vl,410_c3,3,1.5,1.0,1.0,1.5,1.0,1.2,0.27386127875258304,0.5
qwen25vl,420_c0,0,2.5,2.5,2.5,2.0,2.5,2.4,0.22360679774997896,0.5
qwen25vl,420_c1,1,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,420_c2,2,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,420_c3,3,1.5,1.5,2.5,2.0,1.5,1.8,0.4472135954999579,1.0
qwen25vl,422_c0,0,2.0,2.5,2.5,2.0,2.5,2.3,0.2738612787525831,0.5
qwen25vl,422_c1,1,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,422_c2,2,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,422_c3,3,2.5,2.0,1.5,2.5,2.0,2.1,0.4183300132670378,1.0
qwen25vl,432_c0,0,2.5,2.0,2.5,2.0,2.0,2.2,0.2738612787525831,0.5
qwen25vl,432_c1,1,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,432_c2,2,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,432_c3,3,1.0,1.5,1.0,1.5,1.0,1.2,0.27386127875258304,0.5
qwen25vl,440_c0,0,2.5,2.5,2.5,2.0,2.0,2.3,0.2738612787525831,0.5
qwen25vl,440_c1,1,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,440_c2,2,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,440_c3,3,1.5,1.5,1.0,2.5,2.5,1.8,0.6708203932499369,1.5
qwen25vl,441_c0,0,2.0,2.0,2.5,2.0,2.0,2.1,0.22360679774997896,0.5
qwen25vl,441_c1,1,2.5,2.5,2.0,2.5,2.0,2.3,0.27386127875258304,0.5
qwen25vl,441_c2,2,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,441_c3,3,1.0,1.5,1.5,1.5,2.0,1.5,0.3535533905932738,1.0
qwen25vl,443_c0,0,2.0,2.5,2.5,2.5,2.5,2.4,0.22360679774997894,0.5
qwen25vl,443_c1,1,2.5,2.5,2.5,2.0,2.5,2.4,0.22360679774997896,0.5
qwen25vl,443_c2,2,2.5,2.0,2.5,2.0,2.0,2.2,0.2738612787525831,0.5
qwen25vl,443_c3,3,1.5,1.5,1.0,2.5,1.0,1.5,0.6123724356957945,1.5
qwen25vl,463_c0,0,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,463_c1,1,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,463_c2,2,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
qwen25vl,463_c3,3,2.0,1.5,2.0,2.0,1.5,1.8,0.27386127875258304,0.5
qwen25vl,469_c0,0,3.0,0.0,3.0,3.0,0.0,1.8,1.6431676725154982,3.0
qwen25vl,469_c1,1,3.0,3.0,2.0,3.0,3.0,2.8,0.4472135954999579,1.0
qwen25vl,469_c2,2,0.0,4.0,0.0,4.0,4.0,2.4,2.1908902300206647,4.0
qwen25vl,469_ex,3,4.0,0.0,0.0,4.0,0.0,1.6,2.1908902300206647,4.0
qwen25vl,470_c0,0,0.0,3.0,3.0,3.0,3.0,2.4,1.3416407864998738,3.0
qwen25vl,470_c1,1,3.0,0.0,3.0,0.0,3.0,1.8,1.6431676725154982,3.0
qwen25vl,470_c2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,470_ex,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,475_c0,0,4.0,3.0,3.0,4.0,3.0,3.4,0.5477225575051661,1.0
qwen25vl,475_c1,1,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
qwen25vl,475_c2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,475_ex,3,0.0,0.0,4.0,0.0,0.0,0.8,1.7888543819998322,4.0
qwen25vl,479_c0,0,2.0,3.0,3.0,3.0,3.0,2.8,0.44721359549995787,1.0
qwen25vl,479_c1,1,3.0,3.0,2.0,3.0,3.0,2.8,0.4472135954999579,1.0
qwen25vl,479_c2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25vl,479_ex,3,4.0,0.0,4.0,3.0,0.0,2.2,2.04939015319192,4.0
qwen25vl,481_c0,0,3.0,0.0,2.0,4.0,2.0,2.2,1.4832396974191326,4.0
qwen25vl,481_c1,1,3.0,3.0,0.0,0.0,0.0,1.2,1.6431676725154982,3.0
qwen25vl,481_c2,2,0.0,4.0,4.0,4.0,4.0,3.2,1.7888543819998322,4.0
qwen25vl,481_ex,3,0.0,4.0,3.0,4.0,4.0,3.0,1.7320508075688772,4.0
qwen25vl,75_c0,0,3.0,2.0,3.0,3.0,3.0,2.8,0.44721359549995787,1.0
qwen25vl,75_c1,1,0.0,0.0,2.0,1.0,1.0,0.8,0.8366600265340756,2.0
